disasterType,id,disasterNumber,state,incidentBeginDate,placeCode,declaredCountyArea,incidentType
DR,59b5d37e8d585ca31f3ec541,4337,FL,2017-09-04T13:00:00.000Z,99085,Martin (County),Hurricane
DR,59b5d37e8d585ca31f3ec540,4337,FL,2017-09-04T13:00:00.000Z,99075,Levy (County),Hurricane
DR,59b5d37e8d585ca31f3ec53d,4337,FL,2017-09-04T13:00:00.000Z,99045,Gulf (County),Hurricane
DR,59b5d37e8d585ca31f3ec53f,4337,FL,2017-09-04T13:00:00.000Z,99065,Jefferson (County),Hurricane
DR,59b5d37e8d585ca31f3ec53e,4337,FL,2017-09-04T13:00:00.000Z,99055,Highlands (County),Hurricane
DR,59b5d37e8d585ca31f3ec53c,4337,FL,2017-09-04T13:00:00.000Z,99035,Flagler (County),Hurricane
DR,59b5d37e8d585ca31f3ec53b,4337,FL,2017-09-04T13:00:00.000Z,99023,Columbia (County),Hurricane
DR,59b5d37e8d585ca31f3ec53a,4337,FL,2017-09-04T13:00:00.000Z,99013,Calhoun (County),Hurricane
DR,59b5d37e8d585ca31f3ec539,4337,FL,2017-09-04T13:00:00.000Z,99003,Baker (County),Hurricane
DR,59b59b108d585ca31f3ec4cd,4337,FL,2017-09-04T13:00:00.000Z,None,,Hurricane
EM,59b368b18d585ca31f3ec2dc,3388,FL,2017-09-04T13:00:00.000Z,32125,Hollywood Indian Reservation,Hurricane
FM,5900d3685791a0bf23098b72,5179,FL,2017-04-21T05:25:00.000Z,99071,Lee (County),Fire
FM,5900d3685791a0bf23098b73,5180,FL,2017-04-21T05:21:00.000Z,99105,Polk (County),Fire
FM,5900d3685791a0bf23098b71,5178,FL,2017-04-20T17:36:00.000Z,99021,Collier (County),Fire
DR,581cea2c767e701a3d638cbd,4283,FL,2016-10-03T16:00:00.000Z,99011,Broward (County),Hurricane
DR,581cea2c767e701a3d638cbc,4283,FL,2016-10-03T16:00:00.000Z,99097,Osceola (County),Hurricane
DR,581cea2c767e701a3d638cbb,4283,FL,2016-10-03T16:00:00.000Z,99095,Orange (County),Hurricane
DR,58127a42289b6425072e06c1,4283,FL,2016-10-03T16:00:00.000Z,99069,Lake (County),Hurricane
DR,58127a42289b6425072e06c0,4283,FL,2016-10-03T16:00:00.000Z,99007,Bradford (County),Hurricane
DR,58109c4b289b6425072dfaff,4283,FL,2016-10-03T16:00:00.000Z,99099,Palm Beach (County),Hurricane
DR,58109c4a289b6425072dfafe,4283,FL,2016-10-03T16:00:00.000Z,99117,Seminole (County),Hurricane
DR,580e3169289b6425072df0ca,4283,FL,2016-10-03T16:00:00.000Z,99019,Clay (County),Hurricane
DR,580e3169289b6425072df0c9,4283,FL,2016-10-03T16:00:00.000Z,99085,Martin (County),Hurricane
DR,58057580289b6425072dc040,4283,FL,2016-10-03T16:00:00.000Z,99107,Putnam (County),Hurricane
DR,57fbd89ac7e7c32707801212,4283,FL,2016-10-03T16:00:00.000Z,99009,Brevard (County),Hurricane
DR,57f9a620c7e7c327078005ea,4283,FL,2016-10-03T16:00:00.000Z,99109,St. Johns (County),Hurricane
DR,57f9a620c7e7c327078005e9,4283,FL,2016-10-03T16:00:00.000Z,99089,Nassau (County),Hurricane
DR,57f9a620c7e7c327078005e8,4283,FL,2016-10-03T16:00:00.000Z,99061,Indian River (County),Hurricane
DR,57f9a620c7e7c327078005e7,4283,FL,2016-10-03T16:00:00.000Z,99127,Volusia (County),Hurricane
DR,57f9a620c7e7c327078005e6,4283,FL,2016-10-03T16:00:00.000Z,99035,Flagler (County),Hurricane
DR,57f9a620c7e7c327078005e5,4283,FL,2016-10-03T16:00:00.000Z,99111,St. Lucie (County),Hurricane
DR,57f9a620c7e7c327078005e4,4283,FL,2016-10-03T16:00:00.000Z,99031,Duval (County),Hurricane
EM,57f69293c7e7c327077ff58f,3377,FL,2016-10-03T16:00:00.000Z,99107,Putnam (County),Hurricane
EM,57f69293c7e7c327077ff58c,3377,FL,2016-10-03T16:00:00.000Z,99051,Hendry (County),Hurricane
EM,57f69293c7e7c327077ff58e,3377,FL,2016-10-03T16:00:00.000Z,99093,Okeechobee (County),Hurricane
EM,57f69293c7e7c327077ff58b,3377,FL,2016-10-03T16:00:00.000Z,99017,Citrus (County),Hurricane
EM,57f69293c7e7c327077ff58d,3377,FL,2016-10-03T16:00:00.000Z,99083,Marion (County),Hurricane
EM,57f69293c7e7c327077ff58a,3377,FL,2016-10-03T16:00:00.000Z,99127,Volusia (County),Hurricane
EM,57f69293c7e7c327077ff589,3377,FL,2016-10-03T16:00:00.000Z,99105,Polk (County),Hurricane
EM,57f69293c7e7c327077ff585,3377,FL,2016-10-03T16:00:00.000Z,99011,Broward (County),Hurricane
EM,57f69293c7e7c327077ff586,3377,FL,2016-10-03T16:00:00.000Z,99043,Glades (County),Hurricane
EM,57f69293c7e7c327077ff588,3377,FL,2016-10-03T16:00:00.000Z,99089,Nassau (County),Hurricane
EM,57f69293c7e7c327077ff582,3377,FL,2016-10-03T16:00:00.000Z,99087,Monroe (County),Hurricane
EM,57f69293c7e7c327077ff584,3377,FL,2016-10-03T16:00:00.000Z,99111,St. Lucie (County),Hurricane
EM,57f69293c7e7c327077ff57a,3377,FL,2016-10-03T16:00:00.000Z,99031,Duval (County),Hurricane
EM,57f69293c7e7c327077ff57f,3377,FL,2016-10-03T16:00:00.000Z,99009,Brevard (County),Hurricane
EM,57f69293c7e7c327077ff57c,3377,FL,2016-10-03T16:00:00.000Z,99086,Miami-Dade (County),Hurricane
EM,57f69293c7e7c327077ff579,3377,FL,2016-10-03T16:00:00.000Z,99003,Baker (County),Hurricane
EM,57f69293c7e7c327077ff580,3377,FL,2016-10-03T16:00:00.000Z,99035,Flagler (County),Hurricane
EM,57f69293c7e7c327077ff57b,3377,FL,2016-10-03T16:00:00.000Z,99055,Highlands (County),Hurricane
EM,57f69293c7e7c327077ff57d,3377,FL,2016-10-03T16:00:00.000Z,99097,Osceola (County),Hurricane
EM,57f69293c7e7c327077ff57e,3377,FL,2016-10-03T16:00:00.000Z,99109,St. Johns (County),Hurricane
EM,57f69293c7e7c327077ff587,3377,FL,2016-10-03T16:00:00.000Z,99069,Lake (County),Hurricane
